bank_txn_id,value_date,description,credit,debit,running_balance
txn362014806946,03/05/2025,NEFT CR-535865994834-RAZORPAY SOFTWARE PVT LTD,"44,735.78",,"2,94,735.78"
txn356926836441,2025-05-04,RAZORPAY SETTLEMENT 249322824588,"22,288.68",,"3,17,024.46"
txn676216626671,05/05/2025,RAZORPAY SETTLEMENT 540876212627,"24,460.32",,"3,41,484.78"
txn578685424284,2025-05-06,IMPS/839364411736/RAZORPAYSOFT,"24,020.11",,"3,65,504.89"
txn417242397512,07/05/2025,RAZORPAY SETTLEMENT 997058336328,"28,102.12",,"3,93,607.01"
txn695643290150,2025-05-08,RAZORPAY SETTLEMENT 824154022940,"6,430.67",,"4,00,037.68"
txn244964230079,10/05/2025,RAZORPAY SETTLEMENT 405438256496,"11,969.00",,"4,12,006.68"
txn357974481094,2025-05-10,IMPS/253680349889/RAZORPAYSOFT,"43,017.00",,"4,55,023.68"
txn609592723872,11/05/2025,NEFT CR-233052484403-RAZORPAY SOFTWARE PVT LTD,"30,842.14",,"4,85,865.82"
txn264459497267,2025-05-12,NEFT CR-823289948772-RAZORPAY SOFTWARE PVT LTD,"20,464.08",,"5,06,329.90"
txn038827985736,13/05/2025,RAZORPAY SETTLEMENT 469174013941,"44,934.67",,"5,51,264.57"
txn976508872955,2025-05-14,RAZORPAY SETTLEMENT 125164094409,"30,885.79",,"5,82,150.36"
txn647220532485,15/05/2025,IMPS/298423060059/RAZORPAYSOFT,"9,451.89",,"5,91,602.25"
txn667641355639,2025-05-16,NEFT CR-854852179048-RAZORPAY SOFTWARE PVT LTD,"41,857.99",,"6,33,460.24"
txn068996672173,18/05/2025,IMPS/686560634089/RAZORPAYSOFT,"14,902.30",,"6,48,362.54"
txn957785682709,2025-05-19,IMPS/388699184071/RAZORPAYSOFT,"67,260.26",,"7,15,622.80"
txn792107448923,21/05/2025,RAZORPAY SETTLEMENT 145434440445,"76,086.95",,"7,91,709.75"
txn323353369985,2025-05-22,IMPS/610399985117/RAZORPAYSOFT,"10,988.97",,"8,02,698.72"
"TXN149932762400  ",23/05/2025,IMPS/386139761654/RAZORPAYSOFT,"16,996.25",,"8,19,694.97"
txn108051334702,2025-05-24,RAZORPAY SETTLEMENT 300030675231,"17,894.92",,"8,37,589.89"
txn202718496773,25/05/2025,IMPS/912641119112/RAZORPAYSOFT,"73,294.00",,"9,10,883.89"
"txn895965052679  ",2025-05-25,NEFT CR-902829468813-RAZORPAY SOFTWARE PVT LTD,393.71,,"9,11,277.60"
txn597010317599,26/05/2025,RAZORPAY SETTLEMENT 198901317371,"36,046.79",,"9,47,324.39"
txn311370341272,2025-05-27,IMPS/816473286264/RAZORPAYSOFT,"47,205.37",,"9,94,529.76"
txn931435174152,28/05/2025,IMPS/571340436615/RAZORPAYSOFT,"23,850.71",,"10,18,380.47"
txn699146635605,2025-05-30,IMPS/658127849066/RAZORPAYSOFT,"23,785.94",,"10,42,166.41"
txn176347889332,31/05/2025,NEFT CR-524960285221-RAZORPAY SOFTWARE PVT LTD,"15,839.57",,"10,58,005.98"
txn866965717744,2025-06-01,RAZORPAY SETTLEMENT 188369388524,"36,960.58",,"10,94,966.56"
