entity_id,type,order_id,payment_id,method,currency,debit_paise,credit_paise,amount_paise,fee_paise,tax_paise,settlement_id,settled_at,settlement_utr,settlement_status,settlement_net_amount_paise,settlement_fee_paise,settlement_tax_paise,settlement_created_at
pay_2dcihab1cu3sug,payment,order_my14uo3xv5x5e4,pay_2dcihab1cu3sug,upi,INR,0,36500,36500,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_69egivowzqub45,payment,order_wwgscxnjy6dq0m,pay_69egivowzqub45,card,INR,0,40838,41826,837,151,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_69uhb3b7m881fm,payment,order_ea8ywdwy2a4isn,pay_69uhb3b7m881fm,upi,INR,0,139426,139426,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_8jg0udftf98tkq,payment,order_x05g2ps82ugqf5,"  pay_8jg0udftf98tkq  ",wallet,INR,0,66788,68569,1509,272,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_9kc4e2krsi0j9u,payment,order_6o5erjww6c50o6,pay_9kc4e2krsi0j9u,upi,INR,0,26200,26200,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_atudn558kphqs9,payment,order_z6o3acktd9dmxm,pay_atudn558kphqs9,upi,INR,0,89900,89900,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_bx8r02xp9wqdde,payment,order_7wl9699s94byik,pay_bx8r02xp9wqdde,upi,INR,0,9900,9900,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_hm4qxp0t3p11nw,payment,order_qr2bxbhlyjdcdw,pay_hm4qxp0t3p11nw,card,INR,0,356093,364700,7294,1313,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
"PAY_j3rup4c65weohe  ",payment,order_sprqm5uo03jbep,pay_j3rup4c65weohe,upi,INR,0,165606,165606,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_j8sbjaytvvwvnz,payment,order_fputr60jbp25zk,pay_j8sbjaytvvwvnz,upi,INR,0,178838,178838,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_jlsaghmnit6b4b,payment,order_2gp9dt27kqkdqw,pay_jlsaghmnit6b4b,upi,INR,0,66400,66400,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
"  PAY_JQBQ8CK7GAOVY4  ",payment,order_9c8d0pqjb118sc,pay_jqbq8ck7gaovy4,upi,INR,0,116028,116028,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z," 535865994834",processed,4473578,61966,11155,2025-05-03T05:30:00Z
"  pay_k7w3pf78p2ppnt ",payment,order_anxtzom29cvntw," pay_k7w3pf78p2ppnt ",upi,INR,0,582365,582365,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_mms1b7xgg4kazy,payment,order_3nt6wl8epwfpsg,pay_mms1b7xgg4kazy,card,INR,0,1990294,2038400,40768,7338,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_tmg9bjrgqzqt6x,payment,order_1j622ibtxcl020,pay_tmg9bjrgqzqt6x,card,INR,0,53311,54600,1092,197,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_vp5wdk3q5zpioo,payment,order_6cmwdf21v7wwdq,pay_vp5wdk3q5zpioo,card,INR,0,510950,523300,10466,1884,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_yj3rm6hx3ecxzc,payment,order_61y2ko1l4nsqj2,pay_yj3rm6hx3ecxzc,upi,INR,0,10100,10100,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_z5cr3x4071cqph,payment,order_wjfvit2ne900xo,pay_z5cr3x4071cqph,upi,INR,0,34041,34041,0,0,setl_5377hl4h2u43t9,2025-05-03T05:30:00Z,535865994834,processed,4473578,61966,11155,2025-05-03T05:30:00Z
pay_4h3jdowa5guvt8,payment," ORDER_YVJGMFF0FWXKER ",pay_4h3jdowa5guvt8,netbanking,INR,0,88333,90251,1625,293,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_5cx9cx2t4unqxj,payment,order_7xrwl8gqbb75p8,pay_5cx9cx2t4unqxj,upi,INR,0,9900,9900,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_635kzenfheumjv,payment,order_deyci0vywv9dvh,pay_635kzenfheumjv,upi,INR,0,11200,11200,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_717eaoisdsaz95,payment,order_vrzt1qjpobx8zk,pay_717eaoisdsaz95,upi,INR,0,99600,99600,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_9e8ra9ww6x6jbs,payment," ORDEr_i5kwrl9m4w25rf",pay_9e8ra9ww6x6jbs,upi,INR,0,9900,9900,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_azaygn07kw6qbu,payment,order_sbxc61x3bvtrsr,pay_azaygn07kw6qbu,upi,INR,0,42500,42500,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_mlg1heknu3u1fb,payment,order_xg6u78im1hwul9,pay_mlg1heknu3u1fb,upi,INR,0,14326,14326,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,"  249322824588  ",processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_p9u36ud02pogjs,payment,order_lc6qt3en93tlaw,pay_p9u36ud02pogjs,upi,INR,0,140810,140810,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_rv3acwpvlk1ehm,payment,order_i145hi3myi99pw,pay_rv3acwpvlk1ehm,card,INR,0,37930,38847,777,140,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_tuf7cllxl11j4w,payment,order_u2hwsjb3jmuzid,pay_tuf7cllxl11j4w,card,INR,0,33393,34200,684,123,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_y2ywgmtpgduudy,payment,order_x19v0qobr19rl9,pay_y2ywgmtpgduudy,upi,INR,0,98343,98343,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_y9m49743p0gdl9,payment,order_2oi5r3fuujhrzi,pay_y9m49743p0gdl9,upi,INR,0,59004,59004,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_zglg12wqck1ncl,payment,order_nqbgqbdhwow4j0,pay_zglg12wqck1ncl,card,INR,0,41729,42738,855,154,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
pay_znho1efp8ocd8u,payment,order_qd08rqnd9udfcb,pay_znho1efp8ocd8u,upi,INR,0,1541900,1541900,0,0,setl_ek5m80ki41mq0j,2025-05-04T05:30:00Z,249322824588,processed,2228868,3941,710,2025-05-04T05:30:00Z
"PAY_31op1amfterfe0  ",payment,order_v72xx7madra1ic,pay_31op1amfterfe0,upi,INR,0,111200,111200,0,0,setl_1kb7ws08ojoal2,2025-05-05T05:30:00Z,540876212627,processed,2446032,18884,3399,2025-05-05T05:30:00Z
